Date,Close/Last,Volume,Open,High,Low
11/25/2025,$104.40,35122560,$106.12,$106.30,$103.82
11/24/2025,$106.97,62918290,$104.25,$108.04,$103.32
11/21/2025,$104.31,41232690,$105.13,$106.53,$103.81
11/20/2025,$105.67,36918550,$111.00,$111.10,$105.39
11/19/2025,$110.00,31868090,$113.00,$113.34,$108.61
11/18/2025,$114.09,43440570,$110.29,$115.25,$109.20
11/17/2025,$110.29,26082730,$110.75,$111.85,$109.55
11/14/2025,$111.217,47607130,$114.273,$114.273,$110.721
11/13/2025,$115.423,40143590,$115.85,$116.733,$114.569
11/12/2025,$115.75,39220570,$113.817,$116.434,$112.826
11/11/2025,$113.644,27965940,$111.76,$113.922,$111.28
11/10/2025,$112.007,36929000,$110.6715,$112.82,$110.405
11/07/2025,$110.366,44125340,$109.4175,$110.822,$108.75
11/06/2025,$109.702,36531700,$109.458,$110.37,$108.513
11/05/2025,$109.846,35539170,$108.50,$110.085,$107.337
11/04/2025,$109.296,38717800,$109.999,$110.46,$108.668
11/03/2025,$110.009,58634390,$113.324,$113.35,$107.515
10/31/2025,$111.886,68665000,$110.539,$113.488,$110.198
10/30/2025,$108.90,41580990,$109.44,$110.616,$108.811
10/29/2025,$110.041,33994870,$109.984,$110.855,$109.60
10/28/2025,$110.25,40209010,$109.40,$111.698,$109.3008
10/27/2025,$109.456,46911140,$110.067,$110.228,$108.73
10/24/2025,$109.469,60280250,$111.10,$111.451,$109.441
10/23/2025,$111.359,68497220,$112.69,$112.7829,$109.973
10/22/2025,$111.637,147890300,$114.29,$115.76,$111.251
10/21/2025,$124.135,65082340,$124.283,$124.86,$123.176
10/20/2025,$123.856,39862350,$120.7875,$124.776,$120.69
10/17/2025,$119.936,29571010,$118.36,$120.312,$117.895
10/16/2025,$118.359,28326190,$121.215,$121.671,$117.60
10/15/2025,$120.329,20251940,$121.301,$121.962,$120.161
10/14/2025,$121.535,23624460,$121.475,$122.429,$120.31
10/13/2025,$121.903,24607830,$122.135,$123.112,$120.681
10/10/2025,$122.008,42797760,$122.90,$124.70,$121.91
10/09/2025,$123.107,28240770,$121.425,$123.75,$121.182
10/08/2025,$121.425,28513530,$119.711,$121.739,$119.20
10/07/2025,$119.106,33090940,$117.779,$120.1365,$117.746
10/06/2025,$116.331,29685960,$116.037,$116.358,$114.545
10/03/2025,$115.332,31373650,$116.50,$116.80,$114.322
10/02/2025,$116.253,46854670,$116.15,$116.333,$113.40
10/01/2025,$117.09,41102210,$117.549,$117.914,$116.321
09/30/2025,$119.892,38303040,$120.641,$120.85,$117.80
09/29/2025,$120.641,30331740,$120.50,$122.449,$118.754
09/26/2025,$121.061,19449570,$120.542,$121.40,$120.00
09/25/2025,$120.824,19977830,$120.309,$121.684,$119.151
09/24/2025,$120.395,27731270,$121.861,$122.15,$119.42
09/23/2025,$121.847,24991460,$122.733,$122.779,$120.847
09/22/2025,$122.737,25468140,$122.19,$122.976,$121.4243
09/19/2025,$122.697,49475900,$121.862,$122.995,$120.81
09/18/2025,$120.778,31691050,$122.082,$123.30,$120.55
09/17/2025,$122.85,34597960,$122.102,$123.393,$120.6605
09/16/2025,$120.051,24046860,$120.564,$120.90,$119.728
09/15/2025,$120.226,29092770,$118.84,$120.724,$117.3208
09/12/2025,$118.844,37849440,$120.3055,$121.178,$118.24
09/11/2025,$120.35,56822860,$125.10,$125.3445,$119.20
09/10/2025,$124.771,27010150,$126.3975,$126.70,$124.6355
09/09/2025,$126.325,22196550,$124.667,$126.5721,$124.667
09/08/2025,$124.476,19150530,$124.854,$125.2041,$123.20
09/05/2025,$124.382,23796730,$126.00,$126.71,$123.902
09/04/2025,$125.748,30235060,$122.32,$125.748,$122.309
09/03/2025,$122.618,24714950,$120.514,$122.70,$120.338
09/02/2025,$121.411,23032690,$119.70,$121.54,$118.28
08/29/2025,$120.825,32098170,$122.797,$122.879,$120.115
08/28/2025,$123.145,19503360,$122.279,$123.7891,$121.4268
08/27/2025,$122.35,16645260,$122.361,$122.921,$121.30
08/26/2025,$122.609,19857140,$122.021,$123.15,$121.22
08/25/2025,$121.807,28120360,$120.165,$123.38,$119.90
08/22/2025,$120.465,31281330,$120.888,$121.362,$119.823
08/21/2025,$120.621,20471780,$121.143,$122.14,$119.7635
08/20/2025,$121.386,24343980,$121.80,$122.30,$119.331
08/19/2025,$121.415,37077310,$124.02,$124.10,$119.279
08/18/2025,$124.509,21110870,$123.563,$125.116,$123.545
08/15/2025,$123.895,27678040,$123.404,$124.6941,$122.788
08/14/2025,$123.056,39046680,$120.989,$124.409,$120.703
08/13/2025,$120.444,27623550,$123.40,$123.712,$120.30
08/12/2025,$122.528,22826270,$122.50,$123.199,$120.6505
08/11/2025,$121.831,24556480,$121.401,$122.307,$120.193
08/08/2025,$121.164,38166890,$118.319,$121.411,$118.037
08/07/2025,$118.037,26283210,$118.176,$119.122,$116.82
08/06/2025,$117.848,33621610,$115.352,$118.1375,$115.187
08/05/2025,$114.787,26607350,$117.10,$117.171,$114.471
08/04/2025,$117.099,22447020,$116.765,$117.70,$116.2615
08/01/2025,$115.86,38909500,$116.301,$117.8505,$115.285
07/31/2025,$115.94,37129490,$118.48,$119.00,$115.774
07/30/2025,$118.42,29227310,$116.855,$118.485,$116.61
07/29/2025,$116.874,27524890,$117.90,$117.96,$116.329
07/28/2025,$117.46,34469580,$118.12,$119.779,$116.853
07/25/2025,$118.049,26292600,$117.8415,$118.732,$117.4383
07/24/2025,$118.076,38455700,$117.78,$118.35,$116.266
07/23/2025,$117.678,45042640,$118.981,$119.2619,$117.36
07/22/2025,$119.008,50629700,$123.038,$123.237,$118.75
07/21/2025,$123.327,56275910,$120.60,$123.71,$119.80
07/18/2025,$120.924,106933100,$124.196,$124.65,$120.101
07/17/2025,$127.417,64698770,$125.30,$127.75,$124.48
07/16/2025,$125.031,32270220,$126.171,$127.10,$124.982
07/15/2025,$126.027,28017310,$126.20,$127.122,$124.3245
07/14/2025,$126.195,27810480,$124.491,$127.049,$124.00
07/11/2025,$124.511,39571500,$125.9786,$126.10,$123.13
07/10/2025,$125.059,42364940,$128.55,$128.96,$124.601
07/09/2025,$128.828,23844770,$127.399,$128.829,$126.624
07/08/2025,$127.531,32925250,$129.09,$129.325,$126.00
07/07/2025,$128.962,22737370,$129.50,$129.50,$127.602
07/03/2025,$129.718,20062240,$129.20,$130.226,$127.976
07/02/2025,$128.486,30488010,$129.696,$129.995,$127.159
07/01/2025,$129.36,49935670,$133.823,$133.8774,$128.222
06/30/2025,$133.913,32829080,$133.10,$134.115,$132.121
06/27/2025,$132.312,40708570,$130.688,$133.1345,$130.10
06/26/2025,$130.667,26058700,$128.00,$130.734,$128.00
06/25/2025,$127.525,21465100,$128.684,$129.80,$127.381
06/24/2025,$127.911,26633070,$126.0545,$128.2571,$125.50
06/23/2025,$125.354,26673180,$123.8025,$125.484,$121.501
06/20/2025,$123.141,53481930,$123.445,$124.85,$122.4349
06/18/2025,$122.229,22810470,$122.999,$124.20,$122.05
06/17/2025,$122.067,18921260,$121.995,$123.2357,$121.609
06/16/2025,$122.535,21127970,$121.22,$122.625,$121.22
06/13/2025,$121.215,22102530,$120.659,$122.062,$120.189
06/12/2025,$121.503,20846020,$122.259,$123.00,$121.1965
06/11/2025,$121.988,23822800,$120.26,$122.829,$119.601
06/10/2025,$120.362,44544470,$122.752,$122.752,$118.061
06/09/2025,$122.446,24031170,$123.888,$123.888,$122.157
06/06/2025,$124.1475,25569560,$125.941,$126.00,$123.555
06/05/2025,$125.052,28217970,$124.06,$126.281,$123.729
06/04/2025,$123.966,23593810,$122.0735,$124.256,$121.988
06/03/2025,$121.794,23637620,$121.987,$122.957,$121.118
06/02/2025,$121.898,22942160,$120.12,$121.94,$119.625
05/30/2025,$120.723,46967560,$119.833,$121.181,$118.0925
05/29/2025,$118.486,33030790,$120.80,$120.90,$117.628
05/28/2025,$120.855,18558500,$121.027,$121.591,$120.602
05/27/2025,$121.157,29204690,$119.533,$121.177,$119.309
05/23/2025,$118.539,21864830,$118.40,$119.145,$117.944
05/22/2025,$118.797,18615880,$119.24,$119.875,$118.7208
05/21/2025,$119.463,29766100,$118.65,$121.122,$118.65
05/20/2025,$119.202,21330660,$118.679,$119.30,$117.902
05/19/2025,$119.164,28534150,$117.3575,$119.164,$117.171
05/16/2025,$119.153,46983530,$119.314,$119.65,$117.939
05/15/2025,$117.798,44640410,$114.774,$118.7802,$114.7647
05/14/2025,$115.099,39101470,$112.9595,$115.29,$112.84
05/13/2025,$113.844,39978690,$111.446,$114.788,$110.63
05/12/2025,$111.00,64790790,$112.426,$113.00,$110.293
05/09/2025,$114.022,25696330,$114.71,$115.10,$113.322
05/08/2025,$114.443,37608720,$116.162,$116.2294,$113.92
05/07/2025,$115.541,43523940,$113.9175,$116.40,$113.80
05/06/2025,$113.769,32566820,$112.943,$114.766,$112.64
05/05/2025,$113.406,56623170,$111.4795,$114.402,$110.701
05/02/2025,$115.649,37742820,$113.666,$115.944,$113.332
05/01/2025,$113.347,34994970,$112.252,$114.242,$111.183
04/30/2025,$113.172,42666760,$111.265,$113.32,$110.111
04/29/2025,$112.564,37773290,$110.392,$112.781,$109.548
04/28/2025,$111.038,38310880,$110.00,$111.40,$108.262
04/25/2025,$110.153,39500080,$109.704,$110.6798,$109.10
04/24/2025,$109.687,63818960,$104.80,$110.10,$104.702
04/23/2025,$104.959,64718760,$104.7225,$106.125,$103.20
04/22/2025,$104.034,93688730,$100.53,$106.497,$100.452
04/21/2025,$98.791,97757470,$98.44,$101.90,$97.305
04/17/2025,$97.303,88937350,$96.90,$98.4702,$95.60
04/16/2025,$96.163,60661130,$97.628,$98.121,$94.9165
04/15/2025,$97.628,77119820,$95.00,$99.345,$94.80
04/14/2025,$93.128,40358950,$93.27,$94.898,$91.9498
04/11/2025,$91.829,40736380,$92.00,$94.486,$90.668
04/10/2025,$92.117,51297550,$93.194,$94.1235,$89.40
04/09/2025,$94.547,74979740,$85.593,$95.143,$85.44
04/08/2025,$87.04,56253820,$91.244,$92.242,$85.77
04/07/2025,$86.783,66568230,$82.7845,$90.674,$82.11
04/04/2025,$85.586,67988060,$89.65,$90.6628,$85.387
04/03/2025,$91.705,58646220,$90.18,$94.6592,$90.047
04/02/2025,$93.552,32568860,$92.30,$94.9548,$91.611
04/01/2025,$92.838,35199560,$92.75,$93.229,$91.15
03/31/2025,$93.253,46340750,$92.053,$93.448,$90.059
03/28/2025,$93.385,44227170,$97.20,$97.498,$92.923
03/27/2025,$97.672,30472370,$97.422,$98.90,$96.6366
03/26/2025,$97.065,35347070,$99.381,$99.679,$96.632
03/25/2025,$99.728,37822450,$97.818,$99.87,$97.711
03/24/2025,$97.199,46778710,$96.967,$97.70,$95.155
03/21/2025,$96.029,59054290,$94.1635,$96.3653,$94.095
03/20/2025,$95.084,44663050,$95.001,$96.70,$94.55
03/19/2025,$95.949,66623610,$93.577,$96.80,$92.40
03/18/2025,$92.998,60094000,$94.00,$94.825,$91.63
03/17/2025,$95.002,75431460,$93.995,$96.763,$93.442
03/14/2025,$91.80,52006840,$90.146,$91.9625,$90.10
03/13/2025,$89.017,50016980,$91.30,$92.1889,$88.751
03/12/2025,$91.968,68658370,$91.46,$92.718,$90.10
03/11/2025,$89.51,73989340,$86.741,$91.068,$86.60
03/10/2025,$86.668,69953090,$87.507,$88.127,$85.45
03/07/2025,$89.111,77374880,$89.764,$90.4886,$85.807
03/06/2025,$90.636,78525590,$97.299,$97.369,$89.90
03/05/2025,$99.092,38079350,$97.362,$99.56,$96.948
03/04/2025,$97.258,43928140,$97.161,$98.6313,$94.821
03/03/2025,$97.37,39074470,$98.30,$99.493,$96.481
02/28/2025,$98.056,47174090,$96.956,$98.227,$95.817
02/27/2025,$96.307,37665660,$99.50,$100.0726,$96.1825
02/26/2025,$99.006,33972050,$97.76,$100.089,$97.69
02/25/2025,$97.724,47383040,$98.94,$99.44,$95.50
02/24/2025,$98.847,44262270,$100.80,$101.517,$98.448
02/21/2025,$100.315,37387100,$102.942,$103.238,$99.939
02/20/2025,$102.454,31118310,$104.20,$104.50,$101.5594
02/19/2025,$104.333,26000480,$103.518,$104.50,$102.451
02/18/2025,$103.585,42293390,$106.00,$106.20,$102.3749
02/14/2025,$105.86,31454300,$104.495,$106.45,$104.169
02/13/2025,$104.369,34760680,$102.6625,$104.599,$102.51
02/12/2025,$102.731,33889660,$100.549,$102.774,$99.8347
02/11/2025,$100.808,33317970,$102.079,$102.269,$100.295
02/10/2025,$102.76,32965660,$102.305,$103.285,$101.588
02/07/2025,$101.393,32128530,$101.70,$102.776,$100.567
02/06/2025,$101.568,31342930,$100.787,$101.635,$100.261
02/05/2025,$101.111,39977330,$98.773,$101.1825,$98.668
02/04/2025,$99.487,60001370,$98.047,$100.80,$97.851
02/03/2025,$97.894,37241970,$97.30,$98.7689,$96.4375
01/31/2025,$97.676,36187180,$97.40,$99.0289,$97.40
01/30/2025,$97.324,38678250,$98.675,$99.459,$97.001
01/29/2025,$97.815,29307280,$98.00,$98.764,$96.8235
01/28/2025,$97.183,34339720,$96.671,$97.7934,$95.73
01/27/2025,$97.189,46342040,$97.11,$98.227,$96.026
01/24/2025,$97.759,45503970,$98.441,$98.628,$96.768
01/23/2025,$98.486,77521370,$95.781,$98.50,$95.39
01/22/2025,$95.399,142732100,$99.8025,$99.90,$95.076
01/21/2025,$86.968,98513510,$86.353,$91.64,$85.4745
01/17/2025,$85.81,36175650,$85.979,$86.50,$85.213
01/16/2025,$84.237,40285370,$86.096,$86.898,$84.202
01/15/2025,$84.826,31813830,$83.644,$85.084,$83.041
01/14/2025,$82.84,30376500,$84.32,$84.4893,$82.3519
01/13/2025,$84.029,30245170,$83.1525,$84.707,$82.914
01/10/2025,$83.769,48033120,$86.64,$86.641,$83.44
01/08/2025,$87.50,23479490,$88.00,$88.6215,$87.30
01/07/2025,$87.919,26498230,$87.938,$88.80,$86.911
01/06/2025,$88.179,34576560,$88.876,$89.283,$87.169
01/03/2025,$88.105,29700190,$89.313,$89.883,$87.989
01/02/2025,$88.673,23156850,$89.55,$89.858,$87.70
12/31/2024,$89.132,18758970,$90.18,$90.268,$88.947
12/30/2024,$90.043,22029700,$89.451,$90.823,$88.971
12/27/2024,$90.755,32261580,$91.601,$91.813,$89.45
12/26/2024,$92.414,23424180,$92.84,$93.049,$91.53
12/24/2024,$93.212,23202930,$91.50,$93.585,$91.17
12/23/2024,$91.145,23393750,$91.342,$91.50,$89.91
12/20/2024,$90.905,45305190,$89.321,$91.9924,$89.0487
12/19/2024,$90.204,28155120,$90.818,$91.2622,$89.90
12/18/2024,$88.955,29381940,$91.913,$92.244,$88.656
12/17/2024,$91.913,24594560,$92.154,$92.845,$91.642
12/16/2024,$92.108,26748920,$92.394,$92.894,$91.95
12/13/2024,$91.887,24858290,$91.681,$92.555,$90.961
12/12/2024,$92.555,24861970,$93.335,$93.4089,$92.26
12/11/2024,$93.656,35016910,$92.471,$94.175,$92.308
12/10/2024,$91.335,23885750,$91.376,$92.288,$90.958
12/09/2024,$91.369,33500820,$92.80,$93.03,$90.259
12/06/2024,$93.474,29553830,$91.523,$93.527,$91.271
12/05/2024,$91.787,28353070,$91.785,$92.70,$91.1107
12/04/2024,$91.106,26896290,$89.805,$91.597,$89.805
12/03/2024,$90.217,24016340,$89.436,$90.269,$88.8025
12/02/2024,$89.774,23889660,$88.751,$90.234,$88.412
11/29/2024,$88.681,20272370,$88.217,$89.241,$87.668
11/27/2024,$87.734,25782220,$87.206,$88.095,$85.891
11/26/2024,$87.26,31382590,$86.749,$88.636,$86.725